1111	Otomí (Ñahñú); Ñahñú (Otomí)
mli	Malay (Bahasa Melayu); Bahasa Melayu (Malay)
mlo	Mbundu (Kimbundu); Kimbundu
mlo1	Lunda/Chokwe-lunda
mls	Maltese
mnf	Umbundu
mni	Maninka
moz	Mozarabic (Ajami)
mpu	Minangkabau
mxv	Mixteco
mzm	Marshallese
nba	Ngangela (Nyemba)
nel	Ndebele
nhn	Nahuatl
not	Nomatsiguenga
nrn	Norwegian (Nynorsk) (Norsk, Nynorsk)
nrr	Norwegian (Bokmål) (Norsk, Bokmål)
nso	Lamnso' (Lám nso')
nyj	Nyanja/Chinyanja
nyj1	Chechewa (Nyanja); Nyanja (Chechewa)
nyn1	Runyankore-rukiga/Nkore-kiga
nyz	Nyamwezi (Kinyamwezi); Kinyamwezi (Nyamwezi)
nze	Nzema
ose	Osetin (Ossetian)
pbb	Paez
pcm	Nigerian Pidgin English
pdg	Tok Pisin
pis	Solomons Pidgin (Pijin); Pijin (Solomons Pidgin)
plu	Palauan
pmp	Kapampangan
pnf	Ponapean
por	Portuguese
ppl	Pipil
pql	Polish (Polski)
pro	Prouvençau
prv1	Occitan Languedocien
qan	Quechua del Callejon de Huaylas
qar	Quechua de Cotahuasi (Arequipa)
qec1	Quechua
qed	Quechua de Pomabamba (Ancash)
qeg	Quechua de Ambo-Pasco
qei	Quechua de Margos (Sur de Dios de Mayo, Huanuco)
qej	Quechua de Huamalies (Huanuco)
qju	Quechua del Norte de Junin
qnt	Quechua de Cajamarca
qud1	Quichua
quy	Quechua de Ayacucho
quz	Quechua del Cusco
rhe	Rhaeto-Romance (Rumantsch)
rmn1	Romani
rmy1	Vlach
rrt	Maori (Cook Islands) (Rarotongan); Rarotongan (Maori (Cook Islands))
rua1	Kinyarwanda
rud1	Rundi/Kirundi
rum	Romanian (Româna)
rus	Russian (Russky)
ruw	Belorus (Belaruski)
saj	Sango (Sangho)
sco	Scots
ses	Seereer
shd	Shona
shp	Shipibo-Conibo
slo	Slovak (Slovencina)
slv	Slovenian (Slovenscina)
smy	Samoan
snn	Soninké (Soninkanxaane)
som	Somali
spn	Spanish (Español); Español (Spanish)
src1	Bosnian (Latin script)
src3	Serbian (Latin) (Srpski)
src4	Bosnian (Cyrillic script)
src5	Serbian (Cyrillic) (Srpski)
srd	Sardinian
srt	Northern Sotho/Pedi/Sepedi
sso	Southern Sotho/Sotho/Sesotho/Sutu/Sesutu
sua	Sukuma
sud	Sussu/Soussou/Sosso/Soso/Susu
suo	Sundanese
swa	Swahili/Kiswahili
swd	Swedish (Svenska)
swz1	Siswati
tbz	Ditammari
tej	Themne (Temne)
tgl	Filipino (Tagalog)
tht	Tahitian
tid	Chin Tiddim
tiv	Tiv
tob	Toba
toi	Tonga
toj	Tojol-a'b'al
top	Totonaco
tov	Tongan (Tonga)
trk	Turkish (Türkçe)
tru1	Chuuk (Trukese); Trukese (Chuuk)
tso	Changane (Mozambique)
ttm	Tetum
tws1	Akuapem Twi
tws3	Fante
tzc	Tzotzil
tzc1	Tzeltal
tzm	Tamazight (Beraber)
ukr	Ukrainian (Ukrayins'ka)
ura	Urarina
uzb	Uzbek (Latin)
vmw	Makua (Mozambique)
wee	Sorbian
wls	Cymraeg (Welsh)
yua	Mayan (Yucateco)
